memorySpeedId,motherboardId,memorySpeed,createdAt,updatedAt
35,3,DDR5-7200,11/25/2024 20:35,11/25/2024 20:35
36,3,DDR5-7400,11/25/2024 20:35,11/25/2024 20:35
37,3,DDR5-7600,11/25/2024 20:35,11/25/2024 20:35
38,3,DDR5-7800,11/25/2024 20:35,11/25/2024 20:35
39,3,DDR5-7900,11/25/2024 20:35,11/25/2024 20:35
40,3,DDR5-7950,11/25/2024 20:35,11/25/2024 20:35
41,3,DDR5-8000,11/25/2024 20:35,11/25/2024 20:35
42,3,DDR5-8200,11/25/2024 20:35,11/25/2024 20:35
43,3,DDR5-8266,11/25/2024 20:35,11/25/2024 20:35
44,3,DDR5-8400,11/25/2024 20:35,11/25/2024 20:35
45,3,DDR5-8600,11/25/2024 20:35,11/25/2024 20:35
46,3,DDR5-8800,11/25/2024 20:35,11/25/2024 20:35
47,4,DDR5-5600,11/25/2024 20:35,11/25/2024 20:35
48,4,DDR5-5800,11/25/2024 20:35,11/25/2024 20:35
49,4,DDR5-6000,11/25/2024 20:35,11/25/2024 20:35
50,4,DDR5-6200,11/25/2024 20:35,11/25/2024 20:35
51,4,DDR5-6400,11/25/2024 20:35,11/25/2024 20:35
52,4,DDR5-6600,11/25/2024 20:35,11/25/2024 20:35
53,4,DDR5-6800,11/25/2024 20:35,11/25/2024 20:35
54,4,DDR5-7000,11/25/2024 20:35,11/25/2024 20:35
55,4,DDR5-7200,11/25/2024 20:35,11/25/2024 20:35
56,4,DDR5-7400,11/25/2024 20:35,11/25/2024 20:35
57,4,DDR5-7600,11/25/2024 20:35,11/25/2024 20:35
58,4,DDR5-7800,11/25/2024 20:35,11/25/2024 20:35
59,4,DDR5-7900,11/25/2024 20:35,11/25/2024 20:35
60,4,DDR5-7950,11/25/2024 20:35,11/25/2024 20:35
61,4,DDR5-8000,11/25/2024 20:35,11/25/2024 20:35
62,4,DDR5-8200,11/25/2024 20:35,11/25/2024 20:35
63,4,DDR5-8266,11/25/2024 20:35,11/25/2024 20:35
64,4,DDR5-8400,11/25/2024 20:35,11/25/2024 20:35
65,4,DDR5-8600,11/25/2024 20:35,11/25/2024 20:35
66,4,DDR5-8800,11/25/2024 20:35,11/25/2024 20:35
67,5,DDR5-4400,11/25/2024 20:35,11/25/2024 20:35
68,5,DDR5-4800,11/25/2024 20:35,11/25/2024 20:35
69,5,DDR5-5200,11/25/2024 20:35,11/25/2024 20:35
70,5,DDR5-5600,11/25/2024 20:35,11/25/2024 20:35
71,5,DDR5-6000,11/25/2024 20:35,11/25/2024 20:35
72,5,DDR5-6200,11/25/2024 20:35,11/25/2024 20:35
73,5,DDR5-6400,11/25/2024 20:35,11/25/2024 20:35
74,5,DDR5-6600,11/25/2024 20:35,11/25/2024 20:35
75,5,DDR5-6800,11/25/2024 20:35,11/25/2024 20:35
76,5,DDR5-7000,11/25/2024 20:35,11/25/2024 20:35
77,5,DDR5-7200,11/25/2024 20:35,11/25/2024 20:35
78,5,DDR5-7600,11/25/2024 20:35,11/25/2024 20:35
79,5,DDR5-7800,11/25/2024 20:35,11/25/2024 20:35
80,5,DDR5-8000,11/25/2024 20:35,11/25/2024 20:35
81,5,DDR5-8200,11/25/2024 20:35,11/25/2024 20:35
82,5,DDR5-8400,11/25/2024 20:35,11/25/2024 20:35
83,6,DDR5-4800,11/25/2024 20:35,11/25/2024 20:35
84,6,DDR5-6400,11/25/2024 20:35,11/25/2024 20:35
85,6,DDR5-8800,11/25/2024 20:35,11/25/2024 20:35
86,7,DDR5-4800,11/25/2024 20:35,11/25/2024 20:35
87,7,DDR5-6400,11/25/2024 20:35,11/25/2024 20:35
88,7,DDR5-8800,11/25/2024 20:35,11/25/2024 20:35
89,8,DDR5-4800,11/25/2024 20:35,11/25/2024 20:35
90,8,DDR5-6400,11/25/2024 20:35,11/25/2024 20:35
91,8,DDR5-8600,11/25/2024 20:35,11/25/2024 20:35
92,9,DDR5-4800,11/25/2024 20:35,11/25/2024 20:35
93,9,DDR5-6400,11/25/2024 20:35,11/25/2024 20:35
94,9,DDR5-8600,11/25/2024 20:35,11/25/2024 20:35
95,10,DDR5-4800,11/25/2024 20:35,11/25/2024 20:35
96,10,DDR5-5000,11/25/2024 20:35,11/25/2024 20:35
97,10,DDR5-5200,11/25/2024 20:35,11/25/2024 20:35
98,10,DDR5-5400,11/25/2024 20:35,11/25/2024 20:35
99,10,DDR5-5600,11/25/2024 20:35,11/25/2024 20:35
100,10,DDR5-5800,11/25/2024 20:35,11/25/2024 20:35
101,10,DDR5-6000,11/25/2024 20:35,11/25/2024 20:35
102,10,DDR5-6200,11/25/2024 20:35,11/25/2024 20:35
103,10,DDR5-6400,11/25/2024 20:35,11/25/2024 20:35
104,10,DDR5-6600,11/25/2024 20:35,11/25/2024 20:35
105,10,DDR5-6800,11/25/2024 20:35,11/25/2024 20:35
106,10,DDR5-7000,11/25/2024 20:35,11/25/2024 20:35
107,10,DDR5-7200,11/25/2024 20:35,11/25/2024 20:35
108,10,DDR5-7400,11/25/2024 20:35,11/25/2024 20:35
109,10,DDR5-7600,11/25/2024 20:35,11/25/2024 20:35
110,10,DDR5-7800,11/25/2024 20:35,11/25/2024 20:35
111,10,DDR5-8000,11/25/2024 20:35,11/25/2024 20:35
112,10,DDR5-8200,11/25/2024 20:35,11/25/2024 20:35
113,10,DDR5-8400,11/25/2024 20:35,11/25/2024 20:35
114,10,DDR5-8600,11/25/2024 20:35,11/25/2024 20:35
115,10,DDR5-8800,11/25/2024 20:35,11/25/2024 20:35
116,10,DDR5-9000,11/25/2024 20:35,11/25/2024 20:35
117,10,DDR5-9200,11/25/2024 20:35,11/25/2024 20:35
118,11,DDR5-4400,11/25/2024 20:35,11/25/2024 20:35
119,11,DDR5-4800,11/25/2024 20:35,11/25/2024 20:35
120,11,DDR5-5200,11/25/2024 20:35,11/25/2024 20:35
121,11,DDR5-5600,11/25/2024 20:35,11/25/2024 20:35
122,11,DDR5-6000,11/25/2024 20:35,11/25/2024 20:35
123,11,DDR5-6200,11/25/2024 20:35,11/25/2024 20:35
124,11,DDR5-6400,11/25/2024 20:35,11/25/2024 20:35
125,11,DDR5-6600,11/25/2024 20:35,11/25/2024 20:35
126,11,DDR5-6800,11/25/2024 20:35,11/25/2024 20:35
127,11,DDR5-7000,11/25/2024 20:35,11/25/2024 20:35
128,11,DDR5-7200,11/25/2024 20:35,11/25/2024 20:35
129,11,DDR5-7600,11/25/2024 20:35,11/25/2024 20:35
130,11,DDR5-7800,11/25/2024 20:35,11/25/2024 20:35
131,11,DDR5-8000,11/25/2024 20:35,11/25/2024 20:35
132,11,DDR5-8200,11/25/2024 20:35,11/25/2024 20:35
133,11,DDR5-8400,11/25/2024 20:35,11/25/2024 20:35
134,12,DDR5-5600,11/25/2024 20:35,11/25/2024 20:35
135,12,DDR5-5800,11/25/2024 20:35,11/25/2024 20:35
136,12,DDR5-6000,11/25/2024 20:35,11/25/2024 20:35
137,12,DDR5-6200,11/25/2024 20:35,11/25/2024 20:35
138,12,DDR5-6400,11/25/2024 20:35,11/25/2024 20:35
139,12,DDR5-6600,11/25/2024 20:35,11/25/2024 20:35
140,12,DDR5-6800,11/25/2024 20:35,11/25/2024 20:35
141,12,DDR5-7000,11/25/2024 20:35,11/25/2024 20:35
142,12,DDR5-7200,11/25/2024 20:35,11/25/2024 20:35
143,12,DDR5-7400,11/25/2024 20:35,11/25/2024 20:35
144,12,DDR5-7600,11/25/2024 20:35,11/25/2024 20:35
145,12,DDR5-7800,11/25/2024 20:35,11/25/2024 20:35
146,12,DDR5-7900,11/25/2024 20:35,11/25/2024 20:35
147,12,DDR5-7950,11/25/2024 20:35,11/25/2024 20:35
148,12,DDR5-8000,11/25/2024 20:35,11/25/2024 20:35
149,12,DDR5-8200,11/25/2024 20:35,11/25/2024 20:35
150,12,DDR5-8266,11/25/2024 20:35,11/25/2024 20:35
151,12,DDR5-8400,11/25/2024 20:35,11/25/2024 20:35
152,12,DDR5-8600,11/25/2024 20:35,11/25/2024 20:35
153,12,DDR5-8800,11/25/2024 20:35,11/25/2024 20:35
154,13,DDR5-4400,11/25/2024 20:35,11/25/2024 20:35
155,13,DDR5-4800,11/25/2024 20:35,11/25/2024 20:35
156,13,DDR5-5200,11/25/2024 20:35,11/25/2024 20:35
157,13,DDR5-5600,11/25/2024 20:35,11/25/2024 20:35
158,13,DDR5-6000,11/25/2024 20:35,11/25/2024 20:35
159,13,DDR5-6200,11/25/2024 20:35,11/25/2024 20:35
160,13,DDR5-6400,11/25/2024 20:35,11/25/2024 20:35
161,13,DDR5-6600,11/25/2024 20:35,11/25/2024 20:35
162,13,DDR5-6800,11/25/2024 20:35,11/25/2024 20:35
163,13,DDR5-7000,11/25/2024 20:35,11/25/2024 20:35
164,13,DDR5-7200,11/25/2024 20:35,11/25/2024 20:35
165,13,DDR5-7600,11/25/2024 20:35,11/25/2024 20:35
166,13,DDR5-7800,11/25/2024 20:35,11/25/2024 20:35
167,13,DDR5-8000,11/25/2024 20:35,11/25/2024 20:35
168,13,DDR5-8200,11/25/2024 20:35,11/25/2024 20:35
169,13,DDR5-8400,11/25/2024 20:35,11/25/2024 20:35
170,14,DDR5-4800,11/25/2024 20:35,11/25/2024 20:35
171,14,DDR5-6400,11/25/2024 20:35,11/25/2024 20:35
172,14,DDR5-7600,11/25/2024 20:35,11/25/2024 20:35
173,15,DDR5-4800,11/25/2024 20:35,11/25/2024 20:35
174,15,DDR5-6400,11/25/2024 20:35,11/25/2024 20:35
175,15,DDR5-8600,11/25/2024 20:35,11/25/2024 20:35
176,16,DDR5-5600,11/25/2024 20:35,11/25/2024 20:35
177,16,DDR5-6000,11/25/2024 20:35,11/25/2024 20:35
178,16,DDR5-6200,11/25/2024 20:35,11/25/2024 20:35
179,16,DDR5-6400,11/25/2024 20:35,11/25/2024 20:35
180,16,DDR5-6600,11/25/2024 20:35,11/25/2024 20:35
181,16,DDR5-6800,11/25/2024 20:35,11/25/2024 20:35
182,16,DDR5-7000,11/25/2024 20:35,11/25/2024 20:35
183,16,DDR5-7200,11/25/2024 20:35,11/25/2024 20:35
184,16,DDR5-7400,11/25/2024 20:35,11/25/2024 20:35
185,16,DDR5-7600,11/25/2024 20:35,11/25/2024 20:35
186,16,DDR5-7800,11/25/2024 20:35,11/25/2024 20:35
187,16,DDR5-7900,11/25/2024 20:35,11/25/2024 20:35
188,16,DDR5-7950,11/25/2024 20:35,11/25/2024 20:35
189,16,DDR5-8000,11/25/2024 20:35,11/25/2024 20:35
190,16,DDR5-8200,11/25/2024 20:35,11/25/2024 20:35
191,16,DDR5-8266,11/25/2024 20:35,11/25/2024 20:35
192,16,DDR5-8400,11/25/2024 20:35,11/25/2024 20:35
193,16,DDR5-8600,11/25/2024 20:35,11/25/2024 20:35
194,16,DDR5-8800,11/25/2024 20:35,11/25/2024 20:35
195,17,DDR5-4800,11/25/2024 20:35,11/25/2024 20:35
196,17,DDR5-6400,11/25/2024 20:35,11/25/2024 20:35
197,17,DDR5-9000,11/25/2024 20:35,11/25/2024 20:35
198,18,DDR5-4800,11/25/2024 20:35,11/25/2024 20:35
199,18,DDR5-5000,11/25/2024 20:35,11/25/2024 20:35
200,18,DDR5-5200,11/25/2024 20:35,11/25/2024 20:35
201,18,DDR5-5400,11/25/2024 20:35,11/25/2024 20:35
202,18,DDR5-5600,11/25/2024 20:35,11/25/2024 20:35
203,18,DDR5-5800,11/25/2024 20:35,11/25/2024 20:35
204,18,DDR5-6000,11/25/2024 20:35,11/25/2024 20:35
205,18,DDR5-6200,11/25/2024 20:35,11/25/2024 20:35
206,18,DDR5-6400,11/25/2024 20:35,11/25/2024 20:35
207,18,DDR5-6600,11/25/2024 20:35,11/25/2024 20:35
208,18,DDR5-6800,11/25/2024 20:35,11/25/2024 20:35
209,18,DDR5-7000,11/25/2024 20:35,11/25/2024 20:35
210,18,DDR5-7200,11/25/2024 20:35,11/25/2024 20:35
211,18,DDR5-7400,11/25/2024 20:35,11/25/2024 20:35
212,18,DDR5-7600,11/25/2024 20:35,11/25/2024 20:35
213,18,DDR5-7800,11/25/2024 20:35,11/25/2024 20:35
214,18,DDR5-8000,11/25/2024 20:35,11/25/2024 20:35
215,18,DDR5-8200,11/25/2024 20:35,11/25/2024 20:35
216,18,DDR5-8400,11/25/2024 20:35,11/25/2024 20:35
217,18,DDR5-8600,11/25/2024 20:35,11/25/2024 20:35
218,18,DDR5-8800,11/25/2024 20:35,11/25/2024 20:35
219,18,DDR5-9000,11/25/2024 20:35,11/25/2024 20:35
220,18,DDR5-9200,11/25/2024 20:35,11/25/2024 20:35
221,19,DDR5-4800,11/25/2024 20:35,11/25/2024 20:35
222,19,DDR5-5000,11/25/2024 20:35,11/25/2024 20:35
223,19,DDR5-5200,11/25/2024 20:35,11/25/2024 20:35
224,19,DDR5-5400,11/25/2024 20:35,11/25/2024 20:35
225,19,DDR5-5600,11/25/2024 20:35,11/25/2024 20:35
226,19,DDR5-5800,11/25/2024 20:35,11/25/2024 20:35
227,19,DDR5-6000,11/25/2024 20:35,11/25/2024 20:35
228,19,DDR5-6200,11/25/2024 20:35,11/25/2024 20:35
229,19,DDR5-6400,11/25/2024 20:35,11/25/2024 20:35
230,19,DDR5-6600,11/25/2024 20:35,11/25/2024 20:35
231,19,DDR5-6800,11/25/2024 20:35,11/25/2024 20:35
232,19,DDR5-7000,11/25/2024 20:35,11/25/2024 20:35
233,19,DDR5-7200,11/25/2024 20:35,11/25/2024 20:35
234,19,DDR5-7400,11/25/2024 20:35,11/25/2024 20:35
235,19,DDR5-7600,11/25/2024 20:35,11/25/2024 20:35
236,19,DDR5-7800,11/25/2024 20:35,11/25/2024 20:35
237,19,DDR5-8000,11/25/2024 20:35,11/25/2024 20:35
238,19,DDR5-8200,11/25/2024 20:35,11/25/2024 20:35
239,19,DDR5-8400,11/25/2024 20:35,11/25/2024 20:35
240,19,DDR5-8600,11/25/2024 20:35,11/25/2024 20:35
241,19,DDR5-8800,11/25/2024 20:35,11/25/2024 20:35
242,19,DDR5-9000,11/25/2024 20:35,11/25/2024 20:35
243,19,DDR5-9200,11/25/2024 20:35,11/25/2024 20:35
244,20,DDR5-4800,11/25/2024 20:35,11/25/2024 20:35
245,20,DDR5-6400,11/25/2024 20:35,11/25/2024 20:35
246,20,DDR5-7600,11/25/2024 20:35,11/25/2024 20:35
247,21,DDR5-4800,11/25/2024 20:35,11/25/2024 20:35
248,21,DDR5-5000,11/25/2024 20:35,11/25/2024 20:35
249,21,DDR5-5200,11/25/2024 20:35,11/25/2024 20:35
250,21,DDR5-5400,11/25/2024 20:35,11/25/2024 20:35
251,21,DDR5-5600,11/25/2024 20:35,11/25/2024 20:35
252,21,DDR5-5800,11/25/2024 20:35,11/25/2024 20:35
253,21,DDR5-6000,11/25/2024 20:35,11/25/2024 20:35
254,21,DDR5-6200,11/25/2024 20:35,11/25/2024 20:35
255,21,DDR5-6400,11/25/2024 20:35,11/25/2024 20:35
256,21,DDR5-6600,11/25/2024 20:35,11/25/2024 20:35
257,21,DDR5-6800,11/25/2024 20:35,11/25/2024 20:35
258,21,DDR5-7000,11/25/2024 20:35,11/25/2024 20:35
259,21,DDR5-7200,11/25/2024 20:35,11/25/2024 20:35
260,21,DDR5-7400,11/25/2024 20:35,11/25/2024 20:35
261,21,DDR5-7600,11/25/2024 20:35,11/25/2024 20:35
262,21,DDR5-7800,11/25/2024 20:35,11/25/2024 20:35
263,21,DDR5-8000,11/25/2024 20:35,11/25/2024 20:35
264,21,DDR5-8200,11/25/2024 20:35,11/25/2024 20:35
265,21,DDR5-8400,11/25/2024 20:35,11/25/2024 20:35
266,21,DDR5-8600,11/25/2024 20:35,11/25/2024 20:35
267,21,DDR5-8800,11/25/2024 20:35,11/25/2024 20:35
268,21,DDR5-9000,11/25/2024 20:35,11/25/2024 20:35
269,21,DDR5-9200,11/25/2024 20:35,11/25/2024 20:35
270,22,DDR5-5600,11/25/2024 20:35,11/25/2024 20:35
271,22,DDR5-5800,11/25/2024 20:35,11/25/2024 20:35
272,22,DDR5-6000,11/25/2024 20:35,11/25/2024 20:35
273,22,DDR5-6200,11/25/2024 20:35,11/25/2024 20:35
274,22,DDR5-6400,11/25/2024 20:35,11/25/2024 20:35
275,22,DDR5-6600,11/25/2024 20:35,11/25/2024 20:35
276,22,DDR5-6800,11/25/2024 20:35,11/25/2024 20:35
277,22,DDR5-7000,11/25/2024 20:35,11/25/2024 20:35
278,22,DDR5-7200,11/25/2024 20:35,11/25/2024 20:35
279,22,DDR5-7400,11/25/2024 20:35,11/25/2024 20:35
280,22,DDR5-7600,11/25/2024 20:35,11/25/2024 20:35
281,22,DDR5-7800,11/25/2024 20:35,11/25/2024 20:35
282,22,DDR5-7900,11/25/2024 20:35,11/25/2024 20:35
283,22,DDR5-7950,11/25/2024 20:35,11/25/2024 20:35
284,22,DDR5-8000,11/25/2024 20:35,11/25/2024 20:35
285,22,DDR5-8200,11/25/2024 20:35,11/25/2024 20:35
286,22,DDR5-8266,11/25/2024 20:35,11/25/2024 20:35
287,22,DDR5-8400,11/25/2024 20:35,11/25/2024 20:35
288,22,DDR5-8600,11/25/2024 20:35,11/25/2024 20:35
289,22,DDR5-8800,11/25/2024 20:35,11/25/2024 20:35
290,23,DDR5-5600,11/25/2024 20:35,11/25/2024 20:35
291,23,DDR5-5800,11/25/2024 20:35,11/25/2024 20:35
292,23,DDR5-6000,11/25/2024 20:35,11/25/2024 20:35
293,23,DDR5-6200,11/25/2024 20:35,11/25/2024 20:35
294,23,DDR5-6400,11/25/2024 20:35,11/25/2024 20:35
295,23,DDR5-6600,11/25/2024 20:35,11/25/2024 20:35
296,23,DDR5-6800,11/25/2024 20:35,11/25/2024 20:35
297,23,DDR5-7000,11/25/2024 20:35,11/25/2024 20:35
298,23,DDR5-7200,11/25/2024 20:35,11/25/2024 20:35
299,23,DDR5-7400,11/25/2024 20:35,11/25/2024 20:35
300,23,DDR5-7600,11/25/2024 20:35,11/25/2024 20:35
301,23,DDR5-7800,11/25/2024 20:35,11/25/2024 20:35
302,23,DDR5-7900,11/25/2024 20:35,11/25/2024 20:35
303,23,DDR5-7950,11/25/2024 20:35,11/25/2024 20:35
304,23,DDR5-8000,11/25/2024 20:35,11/25/2024 20:35
305,23,DDR5-8200,11/25/2024 20:35,11/25/2024 20:35
306,23,DDR5-8266,11/25/2024 20:35,11/25/2024 20:35
307,23,DDR5-8400,11/25/2024 20:35,11/25/2024 20:35
308,23,DDR5-8600,11/25/2024 20:35,11/25/2024 20:35
309,23,DDR5-8800,11/25/2024 20:35,11/25/2024 20:35
310,24,DDR5-4400,11/25/2024 20:35,11/25/2024 20:35
311,24,DDR5-4800,11/25/2024 20:35,11/25/2024 20:35
312,24,DDR5-5200,11/25/2024 20:35,11/25/2024 20:35
313,24,DDR5-5600,11/25/2024 20:35,11/25/2024 20:35
314,24,DDR5-6000,11/25/2024 20:35,11/25/2024 20:35
315,24,DDR5-6200,11/25/2024 20:35,11/25/2024 20:35
316,24,DDR5-6400,11/25/2024 20:35,11/25/2024 20:35
317,24,DDR5-6600,11/25/2024 20:35,11/25/2024 20:35
318,24,DDR5-6800,11/25/2024 20:35,11/25/2024 20:35
319,24,DDR5-7000,11/25/2024 20:35,11/25/2024 20:35
320,24,DDR5-7200,11/25/2024 20:35,11/25/2024 20:35
321,24,DDR5-7600,11/25/2024 20:35,11/25/2024 20:35
322,24,DDR5-7800,11/25/2024 20:35,11/25/2024 20:35
323,24,DDR5-8000,11/25/2024 20:35,11/25/2024 20:35
324,24,DDR5-8200,11/25/2024 20:35,11/25/2024 20:35
325,24,DDR5-8400,11/25/2024 20:35,11/25/2024 20:35
326,25,DDR5-4800,11/25/2024 20:35,11/25/2024 20:35
327,25,DDR5-6400,11/25/2024 20:35,11/25/2024 20:35
328,25,DDR5-8600,11/25/2024 20:35,11/25/2024 20:35
329,26,DDR5-4800,11/25/2024 20:35,11/25/2024 20:35
330,26,DDR5-6400,11/25/2024 20:35,11/25/2024 20:35
331,26,DDR5-8600,11/25/2024 20:35,11/25/2024 20:35
332,27,DDR5-4800,11/25/2024 20:35,11/25/2024 20:35
333,27,DDR5-6400,11/25/2024 20:35,11/25/2024 20:35
334,27,DDR5-7200,11/25/2024 20:35,11/25/2024 20:35
335,27,DDR5-9200,11/25/2024 20:35,11/25/2024 20:35
336,28,DDR5-4400,11/25/2024 20:35,11/25/2024 20:35
337,28,DDR5-4800,11/25/2024 20:35,11/25/2024 20:35
338,28,DDR5-5200,11/25/2024 20:35,11/25/2024 20:35
339,28,DDR5-5600,11/25/2024 20:35,11/25/2024 20:35
340,28,DDR5-5800,11/25/2024 20:35,11/25/2024 20:35
341,28,DDR5-6000,11/25/2024 20:35,11/25/2024 20:35
342,28,DDR5-6200,11/25/2024 20:35,11/25/2024 20:35
343,28,DDR5-6400,11/25/2024 20:35,11/25/2024 20:35
344,28,DDR5-6600,11/25/2024 20:35,11/25/2024 20:35
345,28,DDR5-6800,11/25/2024 20:35,11/25/2024 20:35
346,28,DDR5-7000,11/25/2024 20:35,11/25/2024 20:35
347,28,DDR5-7200,11/25/2024 20:35,11/25/2024 20:35
348,28,DDR5-7600,11/25/2024 20:35,11/25/2024 20:35
349,28,DDR5-7800,11/25/2024 20:35,11/25/2024 20:35
350,28,DDR5-8000,11/25/2024 20:35,11/25/2024 20:35
351,28,DDR5-8200,11/25/2024 20:35,11/25/2024 20:35
352,28,DDR5-8400,11/25/2024 20:35,11/25/2024 20:35
353,28,DDR5-8800,11/25/2024 20:35,11/25/2024 20:35
354,28,DDR5-9066,11/25/2024 20:35,11/25/2024 20:35
355,28,DDR5-9200,11/25/2024 20:35,11/25/2024 20:35
356,29,DDR5-5600,11/25/2024 20:35,11/25/2024 20:35
357,29,DDR5-5800,11/25/2024 20:35,11/25/2024 20:35
358,29,DDR5-6000,11/25/2024 20:35,11/25/2024 20:35
359,29,DDR5-6200,11/25/2024 20:35,11/25/2024 20:35
360,29,DDR5-6400,11/25/2024 20:35,11/25/2024 20:35
361,29,DDR5-6600,11/25/2024 20:35,11/25/2024 20:35
362,29,DDR5-6800,11/25/2024 20:35,11/25/2024 20:35
363,29,DDR5-7000,11/25/2024 20:35,11/25/2024 20:35
364,29,DDR5-7200,11/25/2024 20:35,11/25/2024 20:35
365,29,DDR5-7400,11/25/2024 20:35,11/25/2024 20:35
366,29,DDR5-7600,11/25/2024 20:35,11/25/2024 20:35
367,29,DDR5-7800,11/25/2024 20:35,11/25/2024 20:35
368,29,DDR5-7900,11/25/2024 20:35,11/25/2024 20:35
369,29,DDR5-7950,11/25/2024 20:35,11/25/2024 20:35
370,29,DDR5-8000,11/25/2024 20:35,11/25/2024 20:35
371,29,DDR5-8200,11/25/2024 20:35,11/25/2024 20:35
372,29,DDR5-8266,11/25/2024 20:35,11/25/2024 20:35
373,29,DDR5-8400,11/25/2024 20:35,11/25/2024 20:35
374,29,DDR5-8600,11/25/2024 20:35,11/25/2024 20:35
375,29,DDR5-8800,11/25/2024 20:35,11/25/2024 20:35
376,29,DDR5-8933,11/25/2024 20:35,11/25/2024 20:35
377,29,DDR5-9066,11/25/2024 20:35,11/25/2024 20:35
378,29,DDR5-9200,11/25/2024 20:35,11/25/2024 20:35
379,29,DDR5-9333,11/25/2024 20:35,11/25/2024 20:35
380,29,DDR5-9466,11/25/2024 20:35,11/25/2024 20:35
381,29,DDR5-9500,11/25/2024 20:35,11/25/2024 20:35
382,30,DDR5-5600,11/25/2024 20:35,11/25/2024 20:35
383,30,DDR5-5800,11/25/2024 20:35,11/25/2024 20:35
384,30,DDR5-6000,11/25/2024 20:35,11/25/2024 20:35
385,30,DDR5-6200,11/25/2024 20:35,11/25/2024 20:35
386,30,DDR5-6400,11/25/2024 20:35,11/25/2024 20:35
387,30,DDR5-6600,11/25/2024 20:35,11/25/2024 20:35
388,30,DDR5-6800,11/25/2024 20:35,11/25/2024 20:35
389,30,DDR5-7000,11/25/2024 20:35,11/25/2024 20:35
390,30,DDR5-7200,11/25/2024 20:35,11/25/2024 20:35
391,30,DDR5-7400,11/25/2024 20:35,11/25/2024 20:35
392,30,DDR5-7600,11/25/2024 20:35,11/25/2024 20:35
393,30,DDR5-7800,11/25/2024 20:35,11/25/2024 20:35
394,30,DDR5-7900,11/25/2024 20:35,11/25/2024 20:35
395,30,DDR5-7950,11/25/2024 20:35,11/25/2024 20:35
396,30,DDR5-8000,11/25/2024 20:35,11/25/2024 20:35
397,30,DDR5-8200,11/25/2024 20:35,11/25/2024 20:35
398,30,DDR5-8266,11/25/2024 20:35,11/25/2024 20:35
399,30,DDR5-8400,11/25/2024 20:35,11/25/2024 20:35
400,30,DDR5-8600,11/25/2024 20:35,11/25/2024 20:35
401,30,DDR5-8800,11/25/2024 20:35,11/25/2024 20:35
402,31,DDR5-4400,11/25/2024 20:35,11/25/2024 20:35
403,31,DDR5-4800,11/25/2024 20:35,11/25/2024 20:35
404,31,DDR5-5200,11/25/2024 20:35,11/25/2024 20:35
405,31,DDR5-5600,11/25/2024 20:35,11/25/2024 20:35
406,31,DDR5-6000,11/25/2024 20:35,11/25/2024 20:35
407,31,DDR5-6200,11/25/2024 20:35,11/25/2024 20:35
408,31,DDR5-6400,11/25/2024 20:35,11/25/2024 20:35
409,31,DDR5-6600,11/25/2024 20:35,11/25/2024 20:35
